Марка|Модель|Модификация|Тип кузова|Год выпуска|Коллекция|Артикул|Количество мест|Материал|Поролон|Использование с боковыми Airbag|Карманы в спинках передних сидений|Вышивка Логотипа|Декоративная отстрочка|Чехол на задний подлокотник|Чехол на передний подлокотник|Доп. 1|Доп. 2|Цена Закупочная|Цена Крупный Опт|Цена Мелкий Опт|Цена Розничная
Audi|100|C4|седан|1991-1994|Premium|mch-0004|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|Да|-|-|-|-|-|-|6490
Audi|A3|8P|хетчбэк|2003-2008|Premium|mch-0005|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Audi|A6|C4|седан|1994-1997|Premium|mch-0006|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Audi|A6|C4|универсал|1994-1997|Premium|mch-0007|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Audi|A6|C5|седан|1997-2004|Premium|mch-0008|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
BMW|3 series|e90|седан|2005-2011|Premium|mch-0009|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Cherry|Tiggo|T11|кроссовер|2005-2012|Premium|mch-0014|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Cherry|Tiggo|FL|кроссовер|2012-н.в.|Premium|mch-0015|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Citroen|C4|-|седан|2012-н.в.|Premium|mch-0018|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Citroen|C5|-|седан|2001-2008|Premium|mch-0020|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
